adapter,adaptateur,,,,,,,,,,,,,,,,,,,,,
inverter, inverters, onduleur, onduleurs,,,,,,,,,,,,,,,,,,,
mini rtu, mini-rtu, distribution rtu,,,,,,,,,,,,,,,,,,,,
mine,mining,,,,,,,,,,,,,,,,,,,,,
Bay controller, bay control, BCU,calculateur de tranche,,,,,,,,,,,,,,,,,,,
RTU, Remote terminal unit,unité terminale distante,concentrateur de données,Data Concentrator,,,,,,,,,,,,,,,,,,
Despatch, Dispatch,,,,,,,,,,,,,,,,,,,,,
FPI, Fault path,Fault Passage Indicators,Fault Current Indicators,Short Circuit Indicator,,,,,,,,,,,,,,,,,,
OMS, Outage management system,,,,,,,,,,,,,,,,,,,,,
ADMS, Advanced DMS, Advanced distribution management system,,,,,,,,,,,,,,,,,,,,
lithium battery, lithium batteries, lithium,,,,,,,,,,,,,,,,,,,,
grid-connected, grid-tied, grid connected, connected to the grid, connecté au réseau, grid tied, tied to the grid,,,,,,,,,,,,,,,,
hybrid, hybridization, hybridisation,combined,,,,,,,,,,,,,,,,,,,
HT, Haute tension, HV, High Voltage, alta tension,,,,,,,,,,,,,,,,,,
MT, Moyenne tension, MV, medium voltage, Media tension,,,,,,,,,,,,,,,,,,
Low voltage, LV, Basse tension, BT, baja tension,,,,,,,,,,,,,,,,,,
heat pump, heat pumping, heatpumps, Thermopompe,pompe à chaleur, pompage de chaleur, heat transfer, heat recovery, heat loop,,,,,,,,,,,,,,
energia descentralizada, energia descentralizada, energia distribuida, energia distribuida, decentralized energy, distributed energy,decentralised energy,decentralised renewable,decentralized renewable, dispatchable power,énergie décentralisée,énergie distribuée,,,,,,,,,,,
rural electrification, mile connectivity, electrification of rural, electrificacion rural, electrificacion rural, electrificacion de areas, electrificacion de areas, acceso a fuentes renovables, acceso a fuentes limpias, last mile,électrification rurale,,,,,,,,,,,,
 electricity access, energy access, access to energy, acceso a energia, acceso a energi­a, acceso a la energia, acceso a la energïa, access to electricity, access to clean energy, access to renewable energy, access to to clean sources, access to renewable sources, accès à  lénergie,,,,,,,,,,
offgrid, offgrids, off grid, off grids, off-grid, off-grids, hors réseau, hors réseaux, hors-réseau, hors-réseaux,,,,,,,,,,,,,
mini wind, mini-wind, small-scale wind, small scale wind, mini eolica, mini-eolica, mini eolica,mini éolienne,,,,,,,,,,,,,,,
mini,small-scale,small scale,micro,,,,,,,,,,,,,,,,,,,
SHS, solar home, solar-home, home solar, home-solar, solar small home, rooftop,solar home system,,,,,,,,,,,,,,,
solar PV, solar panels, solar panel, panneaux solaires, panneaux photovoltaïques, panneau photovoltaique, panneaux photovoltaiques, panneau photovoltaïque, photovoltaïc panels, photovoltaic panel, photovoltaïc cell, photovoltaïc cells, photovoltaic cell, photovoltaic cells, panneau solaire,pv solar,,,,,,,
photovoltaic module,module solaire,solar module,,,,,,,,,,,,,,,,,,,,
micro-grid, micro grid, microgrid, mini-grid, mini grid, minigrid, micro-réseau, micro réseau, micro-reseau, micro reseau, micro réseaux, micro-réseaux,micro-reseaux, mini-réseau, mini-réseaux, mini réseau, mini réseaux, nanogrid, nano-grid,mini-network,mininetwork,,
mini-hydro, mini hydro, minihydro, mini hydropower, mini-hydropower, minihydropower, small-hydro, small hydro, small hydropower, small-scale hydro, small-scale hydropower, small scale hydro, small scale hydropower, micro-hydro, microhydro, micro hydro, micro-hydropower, micro hydropower, microhydropower,,,,
transformer measurement, transformers measurement, measurement of transformer, measurement kit for transformer, measurement kit for transformers,,,,,,,,,,,,,,,,,,
Feeder and transformer sensing, transformer sensor, transformer sensors, feeder sensor, feeder sensors, feeder sensing, transformer sensing,,,,,,,,,,,,,,,,
